UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Sep24 ?        00:00:03 /sbin/init splash
root           2       0  0 Sep24 ?        00:00:00 [kthreadd]
root           3       2  0 Sep24 ?        00:00:00 [rcu_gp]
root           4       2  0 Sep24 ?        00:00:00 [rcu_par_gp]
root           5       2  0 Sep24 ?        00:00:00 [slub_flushwq]
root           6       2  0 Sep24 ?        00:00:00 [netns]
root           8       2  0 Sep24 ?        00:00:00 [kworker/0:0H-events_highpri]
root          11       2  0 Sep24 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 Sep24 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 Sep24 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 Sep24 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 Sep24 ?        00:00:13 [rcu_sched]
root          16       2  0 Sep24 ?        00:00:01 [migration/0]
root          17       2  0 Sep24 ?        00:00:00 [cpuhp/0]
root          18       2  0 Sep24 ?        00:00:00 [cpuhp/1]
root          19       2  0 Sep24 ?        00:00:01 [migration/1]
root          20       2  0 Sep24 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 Sep24 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 Sep24 ?        00:00:00 [cpuhp/2]
root          24       2  0 Sep24 ?        00:00:01 [migration/2]
root          25       2  0 Sep24 ?        00:00:00 [ksoftirqd/2]
root          27       2  0 Sep24 ?        00:00:00 [kworker/2:0H-events_highpri]
root          28       2  0 Sep24 ?        00:00:00 [cpuhp/3]
root          29       2  0 Sep24 ?        00:00:01 [migration/3]
root          30       2  0 Sep24 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 Sep24 ?        00:00:00 [kworker/3:0H-events_highpri]
root          33       2  0 Sep24 ?        00:00:00 [cpuhp/4]
root          34       2  0 Sep24 ?        00:00:01 [migration/4]
root          35       2  0 Sep24 ?        00:00:00 [ksoftirqd/4]
root          37       2  0 Sep24 ?        00:00:00 [kworker/4:0H-events_highpri]
root          38       2  0 Sep24 ?        00:00:00 [cpuhp/5]
root          39       2  0 Sep24 ?        00:00:00 [migration/5]
root          40       2  0 Sep24 ?        00:00:00 [ksoftirqd/5]
root          42       2  0 Sep24 ?        00:00:00 [kworker/5:0H-events_highpri]
root          44       2  0 Sep24 ?        00:00:00 [kdevtmpfs]
root          45       2  0 Sep24 ?        00:00:00 [inet_frag_wq]
root          47       2  0 Sep24 ?        00:00:00 [kauditd]
root          48       2  0 Sep24 ?        00:00:00 [khungtaskd]
root          49       2  0 Sep24 ?        00:00:00 [oom_reaper]
root          50       2  0 Sep24 ?        00:00:00 [writeback]
root          51       2  0 Sep24 ?        00:00:05 [kcompactd0]
root          52       2  0 Sep24 ?        00:00:00 [ksmd]
root          53       2  0 Sep24 ?        00:00:02 [khugepaged]
root          54       2  0 Sep24 ?        00:00:00 [kintegrityd]
root          55       2  0 Sep24 ?        00:00:00 [kblockd]
root          56       2  0 Sep24 ?        00:00:00 [blkcg_punt_bio]
root          59       2  0 Sep24 ?        00:00:00 [tpm_dev_wq]
root          60       2  0 Sep24 ?        00:00:00 [edac-poller]
root          61       2  0 Sep24 ?        00:00:00 [devfreq_wq]
root          62       2  0 Sep24 ?        00:00:00 [watchdogd]
root          63       2  0 Sep24 ?        00:00:00 [kworker/0:1H-kblockd]
root          64       2  0 Sep24 ?        00:00:00 [kswapd0]
root          72       2  0 Sep24 ?        00:00:00 [kthrotld]
root          74       2  0 Sep24 ?        00:00:00 [irq/49-ACPI:Ged]
root          75       2  0 Sep24 ?        00:00:00 [acpi_thermal_pm]
root          76       2  0 Sep24 ?        00:00:00 [mld]
root          77       2  0 Sep24 ?        00:00:00 [kworker/1:1H-kblockd]
root          78       2  0 Sep24 ?        00:00:00 [ipv6_addrconf]
root          83       2  0 Sep24 ?        00:00:00 [kstrp]
root          87       2  0 Sep24 ?        00:00:00 [kworker/u13:0]
root         166       2  0 Sep24 ?        00:00:00 [kworker/4:1H-kblockd]
root         167       2  0 Sep24 ?        00:00:00 [kworker/3:1H-kblockd]
root         169       2  0 Sep24 ?        00:00:00 [kworker/2:1H-kblockd]
root         170       2  0 Sep24 ?        00:00:00 [kworker/5:1H-kblockd]
root         262       2  0 Sep24 ?        00:00:01 [jbd2/vda2-8]
root         263       2  0 Sep24 ?        00:00:00 [ext4-rsv-conver]
root         283       2  0 Sep24 ?        00:00:00 [hwrng]
root         325       1  0 Sep24 ?        00:00:01 /lib/systemd/systemd-journald
root         363       1  0 Sep24 ?        00:00:00 /lib/systemd/systemd-udevd
root         373       2  0 Sep24 ?        00:00:00 [psimon]
root         527       1  0 Sep24 ?        00:00:00 dhclient -4 -v -i -pf /run/dhclient.eth0.pid -lf /var/lib/dhcp/dhclient.eth0.leases -I -df /var/lib/dhcp/dhclient6.eth0.leases eth0
root         544       1  0 Sep24 ?        00:00:05 /usr/sbin/haveged --Foreground --verbose=1
systemd+     548       1  0 Sep24 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         559       2  0 Sep24 ?        00:00:00 [rpciod]
root         560       2  0 Sep24 ?        00:00:00 [xprtiod]
avahi        585       1  0 Sep24 ?        00:00:03 avahi-daemon: running [kali.local]
root         591       1  0 Sep24 ?        00:00:00 /usr/sbin/cron -f
message+     592       1  0 Sep24 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      594       1  0 Sep24 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         595       1  0 Sep24 ?        00:00:00 /usr/sbin/qemu-ga
root         596       1  0 Sep24 ?        00:00:00 /lib/systemd/systemd-logind
avahi        600     585  0 Sep24 ?        00:00:00 avahi-daemon: chroot helper
root         607       1  0 Sep24 ?        00:00:03 /usr/sbin/NetworkManager --no-daemon
root         609       1  0 Sep24 ?        00:00:00 /usr/sbin/spice-webdavd -p 9843
root         634       1  0 Sep24 ?        00:00:00 /usr/sbin/ModemManager
root         732       1  0 Sep24 ?        00:00:00 /usr/sbin/lightdm
root         765     732  0 Sep24 tty7     00:02:05 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         766       1  0 Sep24 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         767       1  0 Sep24 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         808       2  0 Sep24 ?        00:00:00 [scsi_eh_0]
root         809       2  0 Sep24 ?        00:00:00 [scsi_tmf_0]
